Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2015/16

;;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Eskilstuna;Kommunal;447;44,0;69,6;76,3;218,3;70,0;76,8;219,2;570;56,0;59,5;68,4;184,8;69,6;79,9;203,5;
Eskilstuna;Enskild;142;54,6;88,0;96,5;269,4;88,0;96,5;269,4;118;45,4;86,4;~100;242,0;86,4;~100;242,0;
Eslöv;Samtliga;184;45,4;75,0;86,4;225,9;76,7;88,3;229,4;221;54,6;62,9;68,8;212,0;80,8;87,8;227,3;
Eslöv;Kommunal;184;45,4;75,0;86,4;225,9;76,7;88,3;229,4;221;54,6;62,9;68,8;212,0;80,8;87,8;227,3;
Essunga;Samtliga;30;54,5;86,7;~100;238,8;86,7;~100;238,8;25;45,5;72,0;76,0;209,6;72,0;76,0;209,6;
Essunga;Kommunal;30;54,5;86,7;~100;238,8;86,7;~100;238,8;25;45,5;72,0;76,0;209,6;72,0;76,0;209,6;
Fagersta;Samtliga;68;42,5;66,2;70,6;206,6;66,2;70,6;206,6;92;57,5;52,2;65,2;182,0;64,0;80,0;186,2;
Fagersta;Kommunal;62;42,5;69,4;74,2;210,9;69,4;74,2;210,9;84;57,5;52,4;65,5;184,1;65,7;82,1;188,8;
Fagersta;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Falkenberg;Samtliga;249;46,5;71,9;82,7;228,6;74,6;85,8;231,4;286;53,5;65,4;75,2;201,4;76,3;87,3;214,8;
Falkenberg;Kommunal;221;46,7;69,2;81,4;224,5;72,2;84,9;227,7;252;53,3;61,5;71,8;194,2;73,5;85,3;209,1;
Falkenberg;Enskild;28;45,2;92,9;~100;259,2;92,9;~100;259,2;34;54,8;94,1;100,0;250,2;94,1;100,0;250,2;
Falköping;Samtliga;190;45,6;68,4;77,9;217,5;70,3;80,0;220,5;227;54,4;57,7;65,6;187,4;68,2;77,6;193,3;
Falköping;Kommunal;177;45,5;68,4;77,4;217,0;70,3;79,7;220,3;212;54,5;57,5;64,6;190,2;68,9;77,4;196,8;
Falköping;Enskild;13;46,4;..;~100;224,2;..;~100;224,2;15;53,6;..;~100;153,5;..;~100;153,5;
Falun;Samtliga;313;49,1;84,3;89,8;244,7;84,6;90,0;245,3;325;50,9;75,4;82,8;204,3;81,4;89,4;218,1;
Falun;Kommunal;254;48,0;83,9;89,0;242,6;84,1;89,3;243,3;275;52,0;75,3;80,7;201,2;82,5;88,4;217,5;
Falun;Enskild;59;54,1;86,4;~100;254,1;86,4;~100;254,1;50;45,9;76,0;~100;221,3;76,0;~100;221,3;
Filipstad;Samtliga;50;44,6;86,0;~100;222,8;87,8;~100;224,3;62;55,4;71,0;80,6;204,1;78,6;89,3;216,3;
Filipstad;Kommunal;50;44,6;86,0;~100;222,8;87,8;~100;224,3;62;55,4;71,0;80,6;204,1;78,6;89,3;216,3;
Finspång;Samtliga;106;42,1;75,5;88,7;223,9;78,4;91,2;226,6;146;57,9;54,8;66,4;181,4;65,0;78,9;193,9;
Finspång;Kommunal;106;42,1;75,5;88,7;223,9;78,4;91,2;226,6;146;57,9;54,8;66,4;181,4;65,0;78,9;193,9;
Flen;Samtliga;70;49,3;65,7;84,3;228,6;65,2;84,1;227,1;72;50,7;55,6;76,4;196,0;56,3;77,5;197,7;
Flen;Kommunal;50;52,6;64,0;82,0;220,9;63,3;81,6;218,6;45;47,4;57,8;68,9;187,0;59,1;70,5;189,5;
Flen;Enskild;20;42,6;70,0;~100;248,2;70,0;~100;248,2;27;57,4;51,9;~100;211,0;51,9;~100;211,0;
Forshaga;Samtliga;71;47,0;78,9;87,3;226,0;78,9;87,3;226,0;80;53,0;66,3;73,8;189,9;77,9;86,8;205,4;
Forshaga;Kommunal;71;47,0;78,9;87,3;226,0;78,9;87,3;226,0;80;53,0;66,3;73,8;189,9;77,9;86,8;205,4;
Färgelanda;Samtliga;31;34,4;80,6;~100;228,5;80,6;~100;228,5;59;65,6;45,8;57,6;164,9;66,7;84,6;191,9;
