Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2003/04

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Krokom;Kommunal;117;46,4;86,3;92,3;210,2;135;53,6;73,3;89,6;195,9;
Kumla;Samtliga;113;45,6;71,7;88,5;209,5;135;54,4;72,6;89,6;188,6;
Kumla;Kommunal;113;45,6;71,7;88,5;209,5;135;54,4;72,6;89,6;188,6;
Kungsbacka;Samtliga;470;49,4;86,8;98,5;229,8;481;50,6;84,8;96,9;210,0;
Kungsbacka;Kommunal;420;48,4;86,2;98,3;227,6;447;51,6;83,7;96,6;208,3;
Kungsbacka;Enskild;50;59,5;92,0;100,0;248,0;34;40,5;100,0;100,0;231,9;
Kungsör;Samtliga;49;45,4;65,3;81,6;202,8;59;54,6;55,9;74,6;170,6;
Kungsör;Kommunal;49;45,4;65,3;81,6;202,8;59;54,6;55,9;74,6;170,6;
Kungälv;Samtliga;307;49,4;86,0;94,8;222,4;315;50,6;82,8;92,1;199,9;
Kungälv;Kommunal;266;48,2;85,3;94,7;221,2;286;51,8;82,2;92,0;199,2;
Kungälv;Enskild;41;58,6;95,0;~100;238,3;29;41,4;93,8;~100;212,8;
Kävlinge;Samtliga;142;43,7;72,5;89,4;206,4;183;56,3;76,5;91,3;200,8;
Kävlinge;Kommunal;142;43,7;72,5;89,4;206,4;183;56,3;76,5;91,3;200,8;
Köping;Samtliga;194;51,7;75,3;86,6;206,6;181;48,3;71,3;86,7;186,6;
Köping;Kommunal;194;51,7;75,3;86,6;206,6;181;48,3;71,3;86,7;186,6;
Laholm;Samtliga;160;48,8;83,1;89,4;212,0;168;51,2;74,4;83,3;191,2;
Laholm;Kommunal;160;48,8;83,1;89,4;212,0;168;51,2;74,4;83,3;191,2;
Landskrona;Samtliga;228;47,6;65,8;78,9;196,8;251;52,4;58,2;78,1;179,7;
Landskrona;Kommunal;228;47,6;65,8;78,9;196,8;251;52,4;58,2;78,1;179,7;
Laxå;Samtliga;45;52,9;80,0;100,0;212,3;40;47,1;72,5;~100;179,8;
