Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2017/18

;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Helsingborg;Samtliga;1 562;76,3;84,1;233,7;770;49,3;81,3;88,0;251,4;792;50,7;71,5;80,3;216,3;
Helsingborg;Kommunal;1 079;72,2;81,6;227,8;527;48,8;78,5;86,6;248,2;552;51,2;66,1;76,8;208,1;
Helsingborg;Enskild;483;85,3;89,4;246,3;243;50,3;87,2;90,9;258,2;240;49,7;83,3;87,9;234,2;
Herrljunga;Samtliga;120;73,3;78,3;221,0;57;47,5;80,7;80,7;233,8;63;52,5;66,7;76,2;208,4;
Herrljunga;Kommunal;120;73,3;78,3;221,0;57;47,5;80,7;80,7;233,8;63;52,5;66,7;76,2;208,4;
Hjo;Samtliga;104;73,1;81,7;220,3;48;46,2;70,8;79,2;225,6;56;53,8;75,0;83,9;215,8;
Hjo;Kommunal;104;73,1;81,7;220,3;48;46,2;70,8;79,2;225,6;56;53,8;75,0;83,9;215,8;
Hofors;Samtliga;68;79,4;83,8;214,5;32;47,1;84,4;~100;247,0;36;52,9;75,0;80,6;184,8;
Hofors;Kommunal;68;79,4;83,8;214,5;32;47,1;84,4;~100;247,0;36;52,9;75,0;80,6;184,8;
Huddinge;Samtliga;1 261;82,7;90,0;241,6;601;47,7;85,4;91,3;252,5;660;52,3;80,3;88,8;231,6;
Huddinge;Kommunal;1 012;80,8;87,8;233,7;480;47,4;84,0;89,8;246,3;532;52,6;78,0;86,1;222,3;
Huddinge;Enskild;249;90,4;~100;273,2;121;48,6;90,9;~100;277,0;128;51,4;89,8;100,0;269,7;
Hudiksvall;Samtliga;477;76,9;82,6;222,6;243;50,9;81,1;84,4;238,4;234;49,1;72,6;80,8;206,1;
Hudiksvall;Kommunal;390;76,4;82,1;223,0;206;52,8;80,6;84,5;238,0;184;47,2;71,7;79,3;206,2;
Hudiksvall;Enskild;87;79,3;85,1;220,8;37;42,5;83,8;83,8;240,8;50;57,5;76,0;86,0;205,9;
Hultsfred;Samtliga;178;62,9;69,7;201,1;83;46,6;66,3;74,7;227,4;95;53,4;60,0;65,3;177,4;
Hultsfred;Kommunal;153;58,8;66,0;196,8;72;47,1;62,5;70,8;224,0;81;52,9;55,6;61,7;171,8;
Hultsfred;Enskild;25;88,0;~100;226,6;11;44,0;90,9;100,0;249,5;14;56,0;85,7;~100;208,6;
Hylte;Samtliga;166;61,4;72,9;200,5;74;44,6;68,9;79,7;216,6;92;55,4;55,4;67,4;187,2;
Hylte;Kommunal;156;59,0;71,2;196,3;70;44,9;67,1;78,6;214,0;86;55,1;52,3;65,1;181,5;
Hylte;Enskild;10;100,0;100,0;265,0;..;..;..;..;..;..;..;..;..;..;
Håbo;Samtliga;279;79,9;89,6;232,5;134;48,0;79,1;89,6;245,3;145;52,0;80,7;89,7;220,6;
Håbo;Kommunal;229;76,4;87,8;226,4;108;47,2;75,9;88,0;238,4;121;52,8;76,9;87,6;215,7;
Håbo;Enskild;50;96,0;~100;260,0;26;52,0;92,3;~100;273,8;24;48,0;100,0;100,0;245,0;
Hällefors;Samtliga;71;63,4;76,1;215,0;34;47,9;73,5;85,3;251,7;37;52,1;54,1;67,6;181,3;
Hällefors;Kommunal;71;63,4;76,1;215,0;34;47,9;73,5;85,3;251,7;37;52,1;54,1;67,6;181,3;
Härjedalen;Samtliga;110;82,7;89,1;227,8;53;48,2;90,6;90,6;245,7;57;51,8;75,4;87,7;211,1;
Härjedalen;Kommunal;110;82,7;89,1;227,8;53;48,2;90,6;90,6;245,7;57;51,8;75,4;87,7;211,1;
Härnösand;Samtliga;317;69,7;83,6;215,0;157;49,5;73,2;85,4;227,2;160;50,5;66,3;81,9;203,0;
